2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier.StateManager         | No state file found — starting with default state.
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      | =================================================================
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      |   YouTube Live Notifier — Started
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      |   Channel ID      : UCrMGi1oYELKLGp5GgQajmWA
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      |   Channel name    : 42Level
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      |   Check interval  : 300s
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      |   Retry delay     : 15s
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      |   Restored state  : is_live=False, video_id=None, message_id=None
2026-07-01 01:24:28 | INFO     | YouTubeLiveNotifier                      | =================================================================
2026-07-01 01:24:29 | ERROR    | YouTubeLiveNotifier.YouTube              | YouTube API error 403: The authenticated user cannot act on behalf of the specified Google account.
2026-07-01 01:24:29 | WARNING  | YouTubeLiveNotifier                      | Error in check cycle: HTTPError: 403 Client Error: Forbidden for url: https://www.googleapis.com/youtube/v3/search?part=id%2Csnippet&channelId=UCrMGi1oYELKLGp5GgQajmWA&eventType=live&type=video&maxResults=1&key=AIzaSyDxata1y9vOXleZnE7J3NY1dlQ5MBv4-pQ. Retrying in 15s …
2026-07-01 01:24:44 | ERROR    | YouTubeLiveNotifier.YouTube              | YouTube API error 403: The authenticated user cannot act on behalf of the specified Google account.
2026-07-01 01:24:44 | WARNING  | YouTubeLiveNotifier                      | Error in check cycle: HTTPError: 403 Client Error: Forbidden for url: https://www.googleapis.com/youtube/v3/search?part=id%2Csnippet&channelId=UCrMGi1oYELKLGp5GgQajmWA&eventType=live&type=video&maxResults=1&key=AIzaSyDxata1y9vOXleZnE7J3NY1dlQ5MBv4-pQ. Retrying in 15s …
2026-07-01 01:24:59 | ERROR    | YouTubeLiveNotifier.YouTube              | YouTube API error 403: The authenticated user cannot act on behalf of the specified Google account.
2026-07-01 01:24:59 | WARNING  | YouTubeLiveNotifier                      | Error in check cycle: HTTPError: 403 Client Error: Forbidden for url: https://www.googleapis.com/youtube/v3/search?part=id%2Csnippet&channelId=UCrMGi1oYELKLGp5GgQajmWA&eventType=live&type=video&maxResults=1&key=AIzaSyDxata1y9vOXleZnE7J3NY1dlQ5MBv4-pQ. Retrying in 15s …
2026-07-01 01:26:46 | INFO     | YouTubeLiveNotifier                      | Bot stopped by user (Ctrl+C). Goodbye!
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier.StateManager         | No state file found — starting with default state.
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      | =================================================================
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      |   YouTube Live Notifier — Started
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      |   Channel ID      : UCrMGi1oYELKLGp5GgQajmWA
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      |   Channel name    : 42Level
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      |   Check interval  : 300s
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      |   Retry delay     : 15s
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      |   Restored state  : is_live=False, video_id=None, message_id=None
2026-07-01 01:30:09 | INFO     | YouTubeLiveNotifier                      | =================================================================
2026-07-01 01:32:08 | INFO     | YouTubeLiveNotifier                      | Bot stopped by user (Ctrl+C). Goodbye!
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier.StateManager         | No state file found — starting with default state.
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier                      | =================================================================
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier                      |   YouTube Live Notifier — Started
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier                      |   Channel ID      : UCrMGi1oYELKLGp5GgQajmWA
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier                      |   Channel name    : 42Level
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier                      |   Check interval  : 300s
2026-07-01 01:32:11 | INFO     | YouTubeLiveNotifier                      |   Retry delay     : 15s
